Row Labels,Sum of population
602,108502
603,117092
606,10579
610,34457
612,67536
616,17856
617,67305
622,13479
623,112168
624,73020
627,90031
631,2103
637,67016
638,40337
641,54112
646,80856
647,4012
650,39112
652,12024
653,28699
656,58378
659,72290
660,20995
662,53697
664,27943
667,44733
669,33535
670,21438
674,93837
676,102835
677,17320
678,74333
680,125646
682,85940
683,89528
685,111360
687,87958
688,15695
690,16979
692,79496
693,76693
694,656
698,104073
703,74548
704,19897
705,52088
707,25949
714,44488
715,9792
716,55331
717,43424
718,43637
719,68326
720,37016
723,50021
725,239459
727,151087
728,72424
729,146843
730,56433
731,32726
735,24650
736,112011
738,93320
739,104276
740,1225
741,5509
745,109805
751,63568
754,43513
757,50951
765,24450
766,43179
767,59974
769,22668
771,99972
772,25965
773,31685
775,1995
777,112317
778,96903
780,15491
782,33994
783,98312
784,75280
786,581
791,56535
794,81893
795,79884
901,14957
906,8
907,19620
909,7438
911,18440
912,18424
913,18810
915,56379
917,36593
918,38878
920,29411
921,100954
923,46020
924,145450
925,23810
926,275640
927,30402
934,803
936,990
949,208685
950,16
951,73
952,22376
953,86534
956,174096
957,95622
959,76314
960,4790
961,51644
962,49765
965,11595
966,45143
968,5958
969,113879
971,65533
976,139316
979,36290
982,37278
983,103220
985,75213
987,98042
1001,20545
1002,33219
1003,23661
1005,8151
1007,30796
1008,1028
1009,1977
1010,6093
1011,3571
1012,1717
1013,24405
1020,80009
1022,4147
1026,1642
1027,36853
1028,41228
1029,1336
1030,30695
1031,2943
1032,1474
1033,6593
1034,3464
1035,8648
1036,13107
1037,2174
1038,6496
1039,2892
1040,87089
1050,2077
1053,3813
1054,3539
1056,36170
1057,22767
1060,29508
1062,31597
1063,1271
1066,173
1068,4985
1069,13488
1070,996
1071,4317
1072,4096
1073,6869
1074,822
1075,46681
1077,11367
1079,1765
1080,5297
1081,2857
1082,22109
1083,7892
1084,380
1085,44196
1086,781
1088,1374
1089,62321
1092,2290
1093,652
1094,763
1095,30067
1096,5741
1097,76
1098,2989
1103,5120
1104,24637
1105,32417
1106,39001
1107,14905
1108,55196
1109,67941
1118,39186
1119,37445
1128,6397
1129,14897
1151,5150
1199,0
1201,93452
1220,13905
1222,2134
1223,5132
1224,298
1225,8157
1226,7488
1229,252
1230,18069
1235,3241
1236,867
1237,6827
1238,9666
1240,7553
1242,1076
1243,566
1244,327
1245,1593
1247,17919
1253,1581
1254,2571
1255,857
1256,1453
1257,3525
1258,993
1259,1404
1260,299
1262,2631
1264,306
1266,3189
1267,12217
1270,510
1301,46877
1330,3874
1331,36409
1337,5439
1338,428
1339,2969
1340,1773
1341,5095
1342,3974
1343,163
1344,2485
1346,940
1347,113
1349,1156
1350,326
1351,4963
1354,4089
1355,1993
1360,6150
1364,12323
1366,2745
1367,851
1368,2139
1370,2767
1373,10564
1375,3801
1376,14040
1378,2082
1379,2072
1420,49345
1430,15310
1431,4882
1432,17975
1434,4656
1436,7047
1438,1228
1440,27144
1450,22530
1451,7779
1452,6871
1453,64539
1460,10918
1462,21599
1463,24945
1464,12415
1467,607
1468,8528
1469,7622
1473,19204
1474,2418
1475,18565
1501,10638
1503,7416
1504,24109
1505,9003
1506,8921
1507,33879
1510,37583
1515,4510
1516,14476
1518,2909
1519,6783
1520,28604
1521,3849
1522,8752
1523,11932
1524,7224
1525,330
1527,35767
1529,5676
1531,1047
1532,24706
1534,11161
1535,8119
1536,17767
1537,5873
1540,19114
1541,8897
1542,4500
1543,10065
1545,61575
1550,26251
1560,2878
1561,559
1562,19489
1564,13883
1566,6424
1568,5473
1569,14346
1570,45304
1571,31190
1581,45833
1583,15715
1585,10189
1588,11878
1590,23984
1602,22097
1603,33333
1604,92859
1605,31783
1606,32661
1607,13107
1608,8951
1609,14431
1610,40462
1611,3612
1612,7704
1701,50267
1702,43011
1718,899
1719,8246
1720,44266
1721,36721
1730,28385
1731,3607
1740,10990
1741,10012
1742,40324
1745,805
1746,33585
1747,12971
1748,32725
1749,17985
1752,83308
1754,26663
1756,11817
1757,54965
1760,69838
1770,11505
1772,5128
1773,11507
1775,16718
1776,44379
1778,26019
1801,64362
1803,54008
1810,88653
1821,77553
1824,38300
1826,53417
1827,2238
1830,54723
1832,26790
1833,14440
1834,7559
1835,37019
1840,9803
1841,90416
1843,65873
1844,84137
1845,61765
1850,32914
1851,70102
1852,74863
1854,62717
1860,12867
1862,6302
1863,14660
1864,39603
1867,60537
1876,63243
1879,22524
1880,41498
1886,27462
1887,56562
1890,34431
1901,2992
1902,72866
1904,49118
1905,54779
1906,31679
1907,35718
1908,5549
1913,40701
1915,80131
1921,8545
1922,5558
1923,17832
1929,5704
1930,59684
1937,272
1938,26979
1940,18885
1944,5698
1945,41850
1949,18225
1950,38422
1951,7639
1952,14346
1960,140877
1966,14420
1969,9085
1970,106840
1982,9462
1983,15737
1984,5548
1985,6695
2019,32739
2021,57630
2025,19922
2026,55401
2030,10303
2032,7044
2035,34293
2038,71163
2043,36498
2045,10788
2047,452
2048,53368
2050,68750
2052,12977
2053,27666
2054,21017
2056,21174
2061,28681
2062,56494
2066,26867
2067,39792
2071,3999
2072,31291
2081,49188
2090,32482
2093,16871
2108,8574
2109,5958
2110,4475
2111,8891
2113,11358
2114,26625
2115,45446
2116,10996
2118,55210
2119,69045
2120,25814
2121,53462
2122,36708
2124,84343
2125,84638
2126,43237
2127,62639
2128,47159
2129,35202
2130,56823
2131,63611
2132,32373
2134,54755
2135,52062
2136,47375
2138,60190
2139,19233
2140,37977
2141,31988
2142,3040
2143,65798
2144,29070
2145,38810
2148,133228
2149,74925
2150,40588
2151,138307
2152,30934
2155,94521
2163,1918
2169,97000
2170,44843
2171,20325
2176,43782
2180,15291
2184,43369
2186,61523
2188,38702
2189,37498
2190,42682
2191,20909
2199,3240
2203,0
2210,5275
2215,42113
2301,161102
2302,71676
2322,11511
2324,18364
2330,12973
2332,42689
2333,15370
2338,20385
2339,30231
2341,12843
2343,21305
2346,60766
2347,28909
2351,42154
2356,33206
2357,1407
2359,44491
2360,150464
2364,27516
2366,97
2367,6187
2368,91454
2370,36856
2375,9952
2379,18551
2382,16167
2420,37155
2421,36428
2445,24831
2446,69723
2451,28627
2452,31061
2453,56167
2457,2027
2458,12657
2459,21077
2460,19316
2461,15194
2462,3503
2464,3918
2465,25249
2466,13953
2467,48622
2468,11332
2472,71631
2474,42022
2476,42227
2478,32228
2481,26856
2482,27716
2492,53823
2493,12908
2494,19020
2532,21858
2534,1752
2535,709
2536,42465
2537,13607
2538,4126
2539,8577
2540,13544
2542,2007
2543,1677
2553,499
2554,21405
2556,4962
2557,11980
2558,4384
2559,2425
2561,1364
2562,5018
2563,11040
2564,866
2568,8406
2571,16393
2575,7155
2576,6402
2584,27
2601,37502
2630,3727
2631,14760
2632,13164
2633,4499
2635,3995
2637,404
2638,5153
2639,3499
2641,371
2642,2951
2643,40
2644,10716
2645,25652
2646,4413
2647,195
2648,9134
2649,34294
2650,1863
2651,42
2652,2020
2653,9598
2655,8812
2657,1467
2659,1262
2660,13195
2663,351
2664,24717
2666,2292
2667,6841
2668,7047
2669,471
2670,1599
2671,2775
2672,193
2673,13102
2675,16856
2702,4424
2703,50166
2713,111
2715,8038
2717,10707
2718,17451
2719,43226
2720,33028
2721,41979
2723,29959
2724,18372
2725,5689
2726,18852
2738,13471
2739,15745
2740,93747
2743,23853
2744,20507
2745,38816
2746,24042
2747,15632
2748,31760
2760,67680
2762,7555
2763,2042
2764,8698
2766,39449
2767,17496
2769,24738
2770,11124
2771,31564
2777,34541
2779,16559
2780,49976
2790,34852
2791,430
2802,1292
2804,7438
2806,42865
2807,2779
2808,6048
2809,25607
2812,1629
2813,8580
2814,7782
2815,616
2816,87583
2817,13679
2818,37353
2822,10802
2825,6300
2826,2083
2827,5858
2828,11881
2830,12172
2831,7468
2832,9881
2833,1643
2835,14167
2836,355
2837,3831
2838,6759
2839,3166
2840,28144
2841,3155
2842,38300
2852,34667
2857,17890
2858,377
2859,10521
2860,123964
2861,55663
2863,41770
2864,71111
2865,21409
2871,38047
2872,478
2873,280
2874,12277
2875,479
2876,739
2878,26506
2879,42225
2881,21592
2882,24897
2885,23202
2886,29977
2888,44871
2889,31702
2891,33369
2892,5736
2893,48285
2894,811
2895,49104
2896,20057
2898,4280
2903,18658
2904,62239
2905,66705
2906,72477
2907,71116
2908,74939
2909,110582
2910,35766
2911,25017
2912,3413
2914,47952
2915,26549
2916,12375
2917,21983
2919,77661
2920,26309
2921,20532
3031,30285
3032,10788
3033,10335
3034,4908
3036,7538
3037,10921
3038,91785
3042,16192
3043,4437
3044,4661
3045,23664
3046,5978
3047,1093
3048,9377
3049,16083
3051,29464
3052,21760
3053,50714
3054,68586
3055,39297
3057,5418
3060,60178
3062,68605
3063,18699
3064,15841
3070,12176
3071,11166
3076,23349
3077,27249
3079,60155
3082,4433
3084,3643
3086,4195
3087,36624
3101,4690
3102,34310
3103,82228
3104,49237
3106,28289
3109,26590
3110,36362
3215,453
3216,5837
3217,3070
3218,1529
3220,8895
3221,4262
3222,11523
3223,7670
3224,2721
3225,9828
3226,2291
3227,2444
3229,14025
3230,3479
3231,326
3233,293
3234,12034
3235,19351
3237,2632
3238,194
3240,2341
3241,1737
3242,2782
3243,2495
3244,17251
3245,3180
3246,33875
3249,7500
3251,4395
3253,6509
3254,10412
3255,4611
3256,6007
3257,12107
3258,5604
3259,774
3260,1779
3261,9815
3262,2114
3263,5032
3264,20501
3266,4567
3268,3290
3269,4691
3273,821
3275,12096
3276,21873
3278,7977
3279,593
3280,3092
3281,25227
3282,1497
3284,2744
3285,4925
3287,2120
3290,10540
3291,51
3293,395
3301,67721
3303,32318
3304,16168
3307,8159
3431,54179
3440,2981
3441,1035
3442,3844
3443,1294
3444,4335
3445,1827
3446,12201
3447,2733
3448,1380
3449,4228
3450,1015
3451,8159
3452,11345
3455,4612
3456,899
3457,2348
3458,13264
3461,16033
3462,2738
3464,2779
3465,5723
3466,1938
3467,3146
3470,5743
3561,15845
3570,21416
3574,4476
3575,314
3576,3861
3579,795
3580,3618
3581,5202
3582,1790
3583,1893
3584,7909
3585,2939
3586,1449
3588,4431
3590,1765
3592,2489
3593,696
3595,1414
3597,1081
3598,3714
3601,515
3602,5427
3603,3863
3604,114
3605,2423
3607,358
3608,7289
3609,1976
3740,2268
3741,10939
3743,23568
3745,2130
3746,579
3748,12874
3750,1468
3751,879
3752,1769
3753,5054
3754,227
3755,17130
3765,874
3766,11029
3768,4204
3770,602
3771,1700
3773,17527
3774,4008
3777,3303
3779,2060
3780,1115
3781,3061
3782,3522
3784,8289
3785,3974
3801,47117
3809,7852
3810,4055
3811,17941
3812,2057
3813,8857
3814,6278
3816,3786
3817,935
3818,8243
3819,7268
3820,62147
3823,3900
3824,13710
3825,13738
3826,4172
3827,6702
3830,3512
3832,624
3833,32950
3835,18880
3836,2342
3837,3332
3838,2222
3839,4054
3840,7492
3841,16785
3842,32898
3844,4916
3845,2029
3846,2139
3847,455
3848,9198
3849,4336
3850,630
3851,6731
3852,941
3853,584
3854,2108
3855,3004
3856,3575
3857,6211
3858,9769
3860,4767
3861,9105
3862,10482
3864,4461
3865,15383
3867,44305
3868,8521
3869,6402
3870,11215
3871,179
3872,4787
3873,15126
3874,23817
3875,836
3878,10997
3882,3959
3883,461
3884,6500
3885,15358
3886,5329
3887,5827
3890,724
3894,13924
3901,16335
3902,4670
3903,14028
3904,16925
3905,4646
3906,9580
3907,1766
3908,7376
3909,22595
3910,679
3911,570
4001,5612
4002,11539
4003,520
4005,50817
4006,203
4008,4238
4009,10604
4010,4124
4011,32111
4015,10016
4017,372
4019,161
4020,3902
4021,6818
4022,2452
4024,1598
4027,7345
4029,3758
4030,2386
4032,20358
4037,6577
4038,42378
4039,15709
4040,6190
4041,2403
4042,11016
4043,28659
4046,15349
4047,4715
4048,1957
4049,4193
4050,626
4051,3065
4055,10132
4056,537
4057,158
4061,3925
4062,28445
4063,937
4064,21643
4066,1413
4068,3180
4069,3297
4071,7962
4072,29921
4073,20254
4074,41863
4076,4396
4079,8526
4083,11785
4084,8884
4085,4699
4086,15374
4087,5419
4088,4019
4090,20482
4091,1910
4092,27573
4093,22189
4095,3402
4096,17560
4097,4159
4101,45778
4102,11962
4103,17355
4105,22665
4106,29714
4107,15054
4108,950
4109,110
4110,2826
4210,29889
4216,1031
4217,9025
4219,3277
4220,6522
4221,1741
4222,3870
4224,3496
4226,411
4227,188
4228,12
4231,287
4234,179
4236,9581
4237,645
4238,3763
4239,7976
4240,41292
4250,9045
4252,7848
4253,4518
4254,6678
4255,929
4256,7960
4257,6036
4258,5468
4259,5243
4260,14985
4261,1147
4263,6170
4265,2363
4267,100
4268,7944
4270,9660
4271,61
4274,8694
4275,1359
4276,12674
4280,14487
4281,11235
4282,9179
4284,1870
4285,933
4286,54
4287,6859
4289,4807
4290,3178
4292,1922
4294,6551
4330,30462
4342,2542
4343,46
4344,7621
4345,23554
4346,2935
4347,3856
4348,7960
4349,3129
4350,5923
4351,7070
4352,3571
4353,2870
4354,3432
4355,6788
4357,6696
4358,11591
4359,621
4360,1236
4363,2891
4364,8854
4401,95230
4406,1201
4408,448
4410,2058
4411,1862
4412,16916
4413,522
4414,1348
4415,595
4416,14390
4417,645
4418,4718
4419,4989
4421,2649
4422,1715
4424,2192
4426,9988
4427,6569
4428,7239
4429,12706
4430,3986
4431,200
4434,1984
4435,2388
4438,2926
4441,4681
4442,122
4443,1976
4444,14488
4448,956
4449,2583
4450,1474
4451,293
4453,2143
4454,189
4455,974
4456,6141
4457,9683
4459,1184
4460,1612
4461,5099
4462,10528
4463,4958
4464,1437
4468,11760
4469,6020
4471,1642
4472,3171
4473,13190
4474,5704
4475,1081
4476,2587
4478,727
4479,3042
4481,1495
4485,587
4487,2552
4488,2534
4489,243
4490,344
4491,283
4492,160
4493,5174
4495,709
4496,9680
4497,436
4530,23351
4535,490
4537,3474
4538,3612
4539,2628
4541,218
4543,2143
4544,389
4547,2636
4548,1704
4551,2141
4553,3687
4554,1877
4555,3513
4556,3220
4558,809
4562,5515
4563,3246
4564,608
4568,407
4570,4
4571,552
4572,10306
4573,565
4574,4038
4575,98
4576,1559
4578,4915
4579,8549
4605,27753
4606,2719
4607,2336
4609,3424
4611,1324
4612,1585
4613,470
4614,2886
4616,1326
4617,1750
4619,5212
4622,3809
4623,2303
4624,324
4625,118
4626,1247
4627,2626
4628,1208
4629,273
4630,3114
4631,2229
4634,5218
4635,164
4637,285
4640,6110
4642,198
