,Zipcode
0,30303
1,30302
2,30321
3,30343
4,30353
5,30358
6,30370
7,30374
8,30392
9,30394
10,30334
11,31136
12,30312
13,30313
14,30308
15,30332
16,30314
17,30310
18,30363
19,30306
20,30309
21,30307
22,30315
23,30316
24,30318
25,30317
26,30330
27,30322
28,30324
29,30311
30,30344
31,30305
32,30030
33,30031
34,30036
35,30037
36,30354
37,30329
38,30326
39,30320
40,30304
41,30032
42,30033
43,30002
44,30327
45,30331
46,30079
47,30301
48,30325
49,30348
50,30355
51,30357
52,30361
53,30364
54,30368
55,30369
56,30371
57,30375
58,30377
59,30378
60,30380
61,30384
62,30385
63,30388
64,30396
65,30398
66,31106
67,31107
68,31126
69,31131
70,31139
71,31150
72,31156
73,31192
74,31193
75,31195
76,31196
77,30288
78,30319
79,30337
80,30034
81,30345
82,30342
83,30339
