RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022
70878,495,30101,zip,GA,GA,Acworth,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County,181793,181736,182237,183057,184255,185201,186099,186930,188390,189834,190969,191749,192275,193223,194047,195205,196101,196782,197335,198191,199045,199883,200656,201544,202357,203189,203864,204653,205185,205661,206157,206750,207267,207529,207765,207629,207532,207170,207243,207531,208238,209081,209735,210324,210887,211453,212092,212708,212734,212597,212784,213702,214562,215318,215997,216934,217381,217786,217787,218329,218863,219836,220299,221150,222273,223456,224179,224542,225004,225733,226423,227409,228334,229107,229504,230185,231174,232591,233991,235041,235537,235609,235319,235537,235097,235333,235784,237018,238242,238868,239269,238744,237611,235911,233648,232897,231593,230923,229005,228259,227319,226574,225631,224685,223728,222864,221521,218883,216108,214812,213634,211173,208062,206488,206824,206961,205924,204212,202591,202583,201895,202082,202027,202979,202378,200708,196936,193177,189029,186569,184227,182302,180378,178900,177290,175107,172668,170235,168958,169444,170295,170239,170930,170447,172198,171665,173626,173599,174970,176572,178149,178015,177327,177614,179167,179913,180779,181458,182833,184967,187500,189784,191466,193691,196682,199096,200273,201054,202121,204230,205847,206855,206995,206920,207285,207715,208547,209912,211879,213807,214975,215144,214943,215529,217179,219031,219300,219808,220489,221904,223045,224215,225292,227002,229333,231849,233232,233644,233644,233442,233065,233570,234426,236722,238188,239259,239531,240438,242071,243674,245365,246318,247829,249461,251344,253905,255646,258319,258468,259215,259128,260736,262331,263192,263738,264929,267057,268624,269691,269796,270921,272253,274030,274476,274659,275420,277262,278661,279236,279725,280128,282141,283441,285007,285158,285928,287134,289394,292121,295507,299825,304513,308930,312978,317464,323678,329914,337169,345145,354185,362633,369837,377564,385165,394262,402691,413677,422604,430893,435551,438354,438960,438542,437779,438268,437313
70879,1741,30102,zip,GA,GA,Acworth,"Atlanta-Sandy Springs-Alpharetta, GA",Cherokee County,147639,147795,148101,148736,149542,150848,151943,153179,153585,154525,155307,156572,157356,158144,158981,160081,161208,161893,162409,162822,163591,164388,165158,165849,166401,167000,167455,168253,168960,169626,169990,170394,170837,171160,171515,171641,171832,171904,172150,172340,172698,172987,173353,173784,174336,174830,175288,175736,175874,175947,176181,176852,177292,177663,177869,178203,178326,178642,178996,179452,179851,180395,180829,181548,182198,182894,183300,183641,184209,184640,185061,185498,186062,186809,187345,188033,188590,189301,190147,191076,192020,192656,192991,193364,193484,193795,194035,194440,194655,194648,194602,194307,193659,192450,191094,189975,189017,188061,186991,186380,185802,185116,184153,182949,182264,181578,180848,179197,177521,176371,174607,172500,170039,168896,167974,167093,166304,165353,164529,163579,162828,162351,162014,161979,161746,160998,159398,157290,154141,151642,148807,146850,144851,143813,142778,141083,138437,135962,134327,134156,133921,133535,132659,131621,131493,131145,131908,132454,133171,134396,135100,135719,135392,135644,136818,138122,139401,140561,141937,143687,145758,147845,149942,152100,154661,156970,158485,159815,161218,162403,163369,163995,164461,164766,164947,165329,165574,165727,166495,167653,168891,169613,170001,170346,171544,172572,173423,174182,174683,175873,176597,178006,179048,180290,181659,183003,183932,184432,185044,185498,186215,186848,187991,189384,190212,191151,191757,193117,194327,195707,197283,198483,200329,202024,204416,207252,209250,211332,211751,212695,213575,214742,216357,217800,220092,222243,224282,225788,227226,228665,230235,231437,232695,233349,234189,234893,235761,236612,237264,238016,238706,239797,240785,242479,243974,245915,247476,249229,251111,253385,256372,260097,264023,268071,272434,277175,282786,289534,297192,305113,312357,319368,326163,332188,339024,346569,354793,362075,367607,371967,375390,377550,378488,377565,377004,375624
70880,7163,30103,zip,GA,GA,Adairsville,"Atlanta-Sandy Springs-Alpharetta, GA",Bartow County,83056,83185,83300,83504,84556,85507,86248,86614,87185,88225,89022,90066,91191,91766,91959,91978,92448,93042,93536,94156,94983,95986,96601,97037,97162,97997,99437,102574,,,115829,115750,115421,115351,115429,116949,118196,119101,118389,117684,117882,118712,119598,120615,121484,122271,122506,122468,122384,122271,123007,123816,124741,124779,124654,124902,126120,127622,128427,127678,126822,126223,126811,127460,128116,128675,128951,129652,130129,131012,131735,132511,133134,133449,133902,134017,133992,133800,133896,134309,134488,134882,134964,135134,135209,135571,135989,136044,136000,136237,136703,137223,137773,138764,139807,140583,140505,140385,140711,141169,140727,138740,136715,135468,135067,134341,133431,132443,131932,131458,130802,129625,128181,126888,125924,125026,124169,123365,122599,121720,120998,120407,119883,119188,118455,117938,117504,117198,116559,115960,115140,114444,113659,113070,112331,111392,110343,109553,108913,108225,107507,106876,106524,106152,106175,106117,106100,105809,105632,105566,105585,105604,105706,105865,106187,106732,107589,108365,108954,109327,109835,110497,111157,111808,112410,113027,113573,114232,114767,115369,115840,116521,117174,118052,118744,119479,120063,120646,121215,121839,122646,123112,123558,123836,124392,125235,126186,127026,127417,127655,128323,128990,130080,130858,131756,132403,133287,134088,134819,135225,135749,136438,137246,138355,139322,140348,141287,142477,143547,144527,145398,146591,148066,149535,150999,151791,152487,152804,153436,154305,155176,156419,157732,159280,161479,163101,164894,165847,167379,169035,170351,171389,172161,172819,173203,173902,174398,175454,175629,175952,175708,176246,176958,178111,179007,180343,181706,182962,184164,185645,187669,189772,191964,194435,197809,200935,205415,209390,213722,216688,219308,223375,228466,235480,241944,246990,251456,256172,261579,267305,272040,276185,278774,281114,282722,283763
70792,1903,30005,zip,GA,GA,Alpharetta,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,271314,273036,273986,276156,277599,279171,280630,282048,283513,284799,286132,287279,288713,290310,292006,293350,294340,295504,296965,298588,300093,301354,302805,304143,305481,306537,307122,307730,307824,308500,308671,308840,308650,308971,309855,310957,312171,313133,314053,314680,315469,316176,316909,317498,318519,319105,319313,319429,320293,322053,323765,325595,327028,328472,329806,331712,333603,335649,337583,339440,341352,342753,344138,345694,347908,350354,352368,354839,357607,360131,362129,363845,365887,367200,367985,368057,369253,371121,374422,376666,378759,380646,382488,383685,384681,385632,387393,388444,389779,390739,391766,392415,392002,391524,390926,389858,387480,384249,382351,381637,381577,380555,378556,375732,372684,369339,365993,362143,358911,356329,353528,349973,344691,341265,338529,338561,338920,339570,339005,337635,335664,334796,335634,339448,342907,343809,341547,338870,334917,332444,330293,330594,330431,330037,329292,328265,327590,327083,327096,325929,325195,324249,325630,325595,325274,324292,325715,327769,329804,330267,330493,330262,329290,327629,326960,327834,331359,334923,339322,343229,346725,349770,352702,356025,360200,363489,366614,369880,374159,378927,381682,383789,385271,387007,388111,388738,388651,388788,389271,390910,392701,394227,396584,399679,402580,404729,404653,403618,402844,404654,408497,411415,413539,415803,418340,420586,421417,421417,421405,421091,420079,420456,421683,424819,427295,430241,432842,433740,434424,434843,435792,436672,439011,441201,442919,444418,446358,448422,449904,450948,452147,452554,453305,453944,455894,457528,458475,458075,457481,456886,456709,456832,457420,457078,457818,458435,459882,460295,460651,461814,462540,464287,464856,465441,464655,465378,467919,471483,475297,479039,482221,486496,489969,496044,502755,511546,521530,533340,547306,562305,577093,593022,606128,619886,631851,648160,661735,678134,694597,710132,720269,722424,723450,720814,723689,723950
70796,6623,30009,zip,GA,GA,Alpharetta,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,227013,228761,229884,232201,233783,235074,236200,237679,239484,241052,242586,243861,245473,246873,248421,250108,251493,252760,253768,254903,256380,257605,258848,259925,261360,262627,263441,264048,264676,265889,266637,267081,267333,268001,269359,270121,270960,271356,272260,272744,273177,273710,274135,274430,274539,274544,273867,273543,274038,275935,277553,279093,279983,280749,281410,282627,283844,285082,286367,287614,288801,289235,289552,290196,291293,292751,293959,295596,297510,299195,300503,301750,303295,304313,304730,304200,305379,307199,310451,312788,315399,317965,320353,321530,322613,323202,325014,326215,327576,328505,329654,331015,331076,330841,329892,329456,327773,324734,321809,320292,320929,321501,321332,319645,317683,315224,312724,309150,305671,302693,300458,297746,294766,293315,292796,292563,291981,291746,291687,291365,289908,289769,290255,293132,294497,294404,291864,290120,286432,283359,279517,278434,278655,278770,277564,275362,272887,271049,269700,267996,267296,265549,265448,264142,262983,261774,261785,263419,265572,267831,269249,270163,269263,267812,267358,268601,271957,274517,278281,281051,284126,286316,289541,292533,295834,298226,301268,304945,309096,313457,315969,318154,319042,320358,321411,322594,322808,323777,324897,327151,328401,329981,332740,336466,339806,341624,341595,341122,341647,342312,344893,345428,346982,348457,352215,356206,359197,360196,360736,361187,361498,363888,366448,370765,374013,377693,380894,382306,383261,383907,385661,387322,391079,394099,396808,398328,400134,402036,403996,406753,410112,413026,414845,415976,418165,420718,422363,422329,424574,426553,429421,430038,431566,431383,431626,431693,432840,433636,434027,435571,435973,438638,439790,440914,439655,440052,442949,447230,452324,457627,461677,466475,469718,475905,482030,489790,498530,507734,518052,529031,540345,554217,566295,579224,590272,604980,615806,629494,643785,657629,666250,667613,670995,672381,678503,682994
71038,284,30318,zip,GA,GA,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,174541,174920,175430,176756,178111,179552,180222,180926,181502,183103,184333,185649,185729,185994,186222,187430,188809,189963,190913,192649,195165,197797,199707,200845,201613,202084,203364,204488,205641,206264,207029,207642,208388,209314,211000,211618,212254,212635,213968,214798,215189,215877,216767,217428,217482,217221,216928,217031,218185,220692,223064,225554,227169,228039,227914,228648,229309,230436,230999,232983,234432,235448,235355,235548,236508,238266,240358,242107,243828,245159,246636,247677,249037,249549,249260,248526,248639,249498,251316,252524,253372,253905,254439,254914,254861,254278,253990,253499,253661,253741,254072,253978,253204,251926,249937,248067,245274,241401,236655,233377,229434,225670,219454,214097,209228,205134,200584,193682,186176,179703,175815,173226,169453,164423,159081,154946,152200,149827,148508,147444,145227,143711,142626,144159,145314,146432,145060,143120,139441,136852,133791,131469,128946,127377,125504,124652,122046,120426,118111,116611,115264,113823,113058,111248,109393,108323,107965,108219,109072,109338,111046,112467,114841,116307,117794,119451,121039,121169,122298,123245,125540,127086,129457,131311,134180,136359,138707,140731,143720,146341,148573,149406,150612,151629,153227,154227,154534,154981,155917,157090,158211,159674,161559,163207,164908,166773,168606,169553,169930,170456,172497,174012,175966,177780,180041,181447,182165,183442,185171,187032,188038,189549,191264,193851,196442,198330,200005,200693,202343,204472,206940,209230,211984,215467,218522,221936,223421,225414,226944,229650,232730,235974,239661,243268,247022,250775,254198,257155,260639,263178,265849,267190,269103,269202,269970,271196,272255,273396,273528,275804,278387,282862,285420,286482,285427,286472,288765,292109,294830,297631,299711,302901,307094,312739,318075,323166,328600,334275,339875,346228,352330,359899,364712,369683,373446,381301,386475,393117,397645,402303,403738,402300,402640,401324,401621,401219
71050,451,30331,zip,GA,GA,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,140185,141242,142098,144033,145642,146934,147984,149095,150192,151655,152891,154399,155300,156372,157306,158654,159859,161721,163187,165024,166420,167871,168977,169491,169663,169938,170332,171057,171758,172307,172659,172315,172297,172372,173620,174094,174702,174596,175685,176229,176893,176933,177129,177184,177387,177705,177649,177912,178341,179043,179420,180176,181102,181860,182296,183004,184178,185375,186011,186489,186708,187062,187340,188009,189025,189691,190102,190945,191906,192426,192344,192142,192158,192244,191970,191592,191016,190483,190563,190820,191723,192381,192930,193533,194319,194796,195234,195497,196304,197349,198340,198818,198283,197359,196573,195695,194349,191823,189018,186595,184156,181763,178161,174264,170827,168127,165889,162207,157824,154184,150688,146983,141606,137187,132975,130881,128424,127877,125236,123370,120162,117978,116311,115963,116353,116248,114837,113265,110384,109000,107692,107398,105702,104863,103621,102251,99406,97440,95778,94456,93285,92005,91769,91227,91409,91012,91420,92319,93876,94897,95815,96155,96611,96564,96750,96994,97498,97791,98177,98472,98857,99953,101931,104062,106451,107955,110177,111862,113872,115493,116177,117481,118148,119674,120683,122421,123881,124970,125425,125874,127091,128589,130609,132004,133434,134387,134627,134382,133823,133611,133776,134008,134728,135944,137515,139231,140692,141564,142753,143357,143615,143841,144456,146192,147946,149485,150916,151422,152572,153222,154343,155313,157233,158283,159354,160205,160723,161024,161407,163262,166414,169135,171782,173210,175226,176996,178572,180024,181667,183010,184251,185040,186358,186494,187492,188128,189397,189894,190482,191989,194238,197147,198627,199333,199124,200105,201865,204260,206625,209041,210919,213781,216961,221725,225754,230170,234698,240090,245666,251320,257736,265396,271976,277611,282515,288381,294012,300469,307927,314515,318857,320041,321569,321743,323244,322737
71035,2377,30315,zip,GA,GA,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,156446,157817,158442,160124,161625,162598,163696,163886,164682,165031,165781,166843,167812,168989,170773,172505,174200,175417,176871,178609,180198,181544,182672,183696,184465,185084,186027,187237,188340,190654,192762,194688,194444,195176,196821,199442,201628,203669,204802,205763,206015,206038,205995,206311,208108,209473,210580,210378,212028,215710,219512,223795,226204,228834,229986,232270,234422,236544,237283,239604,240140,240641,240698,241950,243781,245713,247197,248572,248663,249150,249486,249581,249780,249194,248811,248119,247931,247880,247876,248008,248264,248854,249677,249948,249988,249068,248801,248381,248046,247554,247625,247544,245961,244316,242208,239623,234539,,219771,214165,208969,203878,,183741,175540,172075,167594,162992,154706,147255,140517,136927,130249,123564,117777,113316,109714,106043,101820,97361,91582,86493,84154,83636,85149,84552,84066,82768,80270,77863,75490,73818,71959,70292,70268,70089,70182,69196,67979,66017,64952,64920,66616,67863,68867,68656,68792,69499,70306,70325,69823,68639,67672,67140,67337,68539,69737,70887,72094,73041,73807,73718,73653,74828,76346,77735,78421,78616,79021,80081,80371,80810,80145,80996,82269,83273,83331,82110,81448,81321,81978,82571,83159,83859,85085,86399,87484,88210,88893,89725,89607,89076,89171,90809,93434,95968,97856,99364,100075,100804,101159,101939,103594,105770,107959,109259,109337,108922,108944,109762,111434,113127,116400,119117,122165,125052,126504,128040,128871,132297,136112,140401,144564,148369,152566,156396,159771,162340,164543,166464,167515,168032,170080,172661,176399,179341,181741,183653,185143,186578,188651,190956,191902,190774,189394,190473,192793,196567,200614,204993,208038,211757,216013,220444,223187,225293,227798,232471,237920,243970,250017,256451,261240,265892,270622,277853,282079,285172,287159,289396,291225,291341,292775,293277,293817,293942
71031,2566,30311,zip,GA,GA,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,96814,97525,97881,98788,99850,101129,102516,103586,104562,105549,106555,107471,108472,109098,109779,110131,110422,110904,111621,112931,114286,116043,117385,118386,118444,118928,118979,119352,119579,120808,121758,122155,122381,122650,123510,123550,124141,124562,125983,126994,128094,128170,128060,127826,127904,128377,128605,129758,131362,132811,133674,133897,134767,135585,136429,138012,139740,141617,142357,143363,144153,145456,146595,148467,149773,150479,150467,151304,152428,153068,152829,152605,152871,153420,153549,153294,153042,153556,155268,156433,157193,157620,158515,159458,159820,160164,160414,160729,160670,160478,160363,159974,158696,156661,154534,152498,150326,146822,143508,142132,141257,140150,137202,134443,131262,127734,123984,119682,113945,109988,107629,105976,102926,98772,95248,92355,89099,87382,84285,82763,79237,77577,76702,77387,77051,75645,73646,72526,70348,68849,66799,66173,65011,64936,64454,63102,61128,59038,58187,57341,57409,57330,57959,57677,57884,57215,57409,57756,58498,59570,60598,61111,62355,63098,64160,63523,62881,62244,62066,62198,62899,63886,64772,65658,66593,67480,69005,70434,72154,72752,72620,72794,73050,74335,75581,77300,78381,79278,80130,81223,82014,82653,83652,84802,87150,88832,89937,89686,89624,89935,91356,92535,94214,95165,96514,98360,99872,101726,102780,103835,103922,104799,106149,108862,111933,115058,117877,119210,121415,123999,128064,131546,135060,137669,140388,143127,146887,150843,155692,161235,168111,174732,180947,185104,189735,192524,195008,196119,198085,199951,201868,203118,204856,205144,205698,206446,207836,209446,210453,213535,216105,219702,219630,219409,218197,219372,222173,226504,230258,233874,235954,240265,244660,250556,255772,261038,265754,270103,273673,278687,284139,292955,298918,304326,308317,314558,319932,324840,328654,332882,335960,338111,340613,340981,342034,341632
71043,3413,30324,zip,GA,GA,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,333550,336761,339085,343878,347488,350996,354949,358167,361036,363173,365518,367304,368584,370209,372673,374688,376539,377867,379781,381730,383512,384562,385833,387274,388713,389016,387795,387780,387818,389375,389114,389330,389077,390622,392173,393576,394628,395285,396475,396188,395982,394747,394335,393931,394771,395041,395060,394986,396690,399098,401446,403570,405500,406780,406873,407797,409092,410712,412238,413336,414420,415120,415897,417694,419769,423234,425931,428357,429882,431458,433801,436769,439512,441774,442675,442888,443059,444370,446910,448768,449956,450832,451275,451981,452214,451586,451703,451732,453690,455180,456454,457560,458936,460412,460180,459569,457283,453427,448454,445140,444288,443322,441961,440495,439250,437075,432298,426078,417909,412450,407554,404672,401877,400147,398890,397589,396833,396331,395962,394694,393193,393211,394400,398383,400648,400522,396294,391668,386618,382819,379165,377760,377757,378581,378702,377938,375771,373922,371814,370992,369852,369596,367771,364832,360637,359069,360707,365657,369456,372148,372929,372998,373101,371273,371850,371945,375740,378710,383839,387696,390983,392900,395774,398744,402342,405706,410498,416470,420600,425230,428556,432803,435023,436296,438465,439857,441095,442378,444323,448030,451849,455073,457331,459267,462966,467748,470686,471664,471853,472684,476220,478192,481331,483604,487493,490923,493198,493867,493129,491979,488571,488360,490471,496228,501624,506364,510250,511647,512959,514525,517561,519118,522975,526578,531077,535552,539725,543217,546017,546502,547556,547595,549540,551399,554083,557543,560075,561726,562535,563333,564206,564357,564577,563342,562315,561340,560881,560462,560932,562842,565119,568622,571591,571832,568691,566025,567889,573031,577794,582068,585017,588798,592316,596388,600347,604752,611752,620004,628989,636987,645703,656018,662966,669927,677275,694900,701820,708890,710113,719631,724280,724133,723397,721557,722731,723716
